,Facility Name,City,State,HCAHPS Answer Description,County Name,HCAHPS Answer Percent,Number of Completed Surveys,StateDesc,CityName,PopulationCount,Data_Value,CityFIPS
816,LIFESCAPE,sioux falls,SD,"Patients who gave a rating of ""6"" or lower (low)",MINNEHAHA,0,0,SD,sioux falls,153888.0,10.818918918918918,4659020.0
817,LIFESCAPE,sioux falls,SD,"Patients who gave a rating of ""7"" or ""8"" (medium)",MINNEHAHA,0,0,SD,sioux falls,153888.0,10.818918918918918,4659020.0
818,LIFESCAPE,sioux falls,SD,"Patients who gave a rating of ""9"" or ""10"" (high)",MINNEHAHA,0,0,SD,sioux falls,153888.0,10.818918918918918,4659020.0
819,SANFORD USD MEDICAL CENTER,sioux falls,SD,"Patients who gave a rating of ""6"" or lower (low)",MINNEHAHA,5,1513,SD,sioux falls,153888.0,10.818918918918918,4659020.0
820,SANFORD USD MEDICAL CENTER,sioux falls,SD,"Patients who gave a rating of ""7"" or ""8"" (medium)",MINNEHAHA,20,1513,SD,sioux falls,153888.0,10.818918918918918,4659020.0
821,SANFORD USD MEDICAL CENTER,sioux falls,SD,"Patients who gave a rating of ""9"" or ""10"" (high)",MINNEHAHA,75,1513,SD,sioux falls,153888.0,10.818918918918918,4659020.0
822,SIOUX FALLS SPECIALTY HOSPITAL,sioux falls,SD,"Patients who gave a rating of ""6"" or lower (low)",MINNEHAHA,3,1256,SD,sioux falls,153888.0,10.818918918918918,4659020.0
823,SIOUX FALLS SPECIALTY HOSPITAL,sioux falls,SD,"Patients who gave a rating of ""7"" or ""8"" (medium)",MINNEHAHA,8,1256,SD,sioux falls,153888.0,10.818918918918918,4659020.0
824,SIOUX FALLS SPECIALTY HOSPITAL,sioux falls,SD,"Patients who gave a rating of ""9"" or ""10"" (high)",MINNEHAHA,89,1256,SD,sioux falls,153888.0,10.818918918918918,4659020.0
825,SIOUX FALLS VA MEDICAL CENTER,sioux falls,SD,"Patients who gave a rating of ""6"" or lower (low)",MINNEHAHA,5,416,SD,sioux falls,153888.0,10.818918918918918,4659020.0
826,SIOUX FALLS VA MEDICAL CENTER,sioux falls,SD,"Patients who gave a rating of ""7"" or ""8"" (medium)",MINNEHAHA,10,416,SD,sioux falls,153888.0,10.818918918918918,4659020.0
827,SIOUX FALLS VA MEDICAL CENTER,sioux falls,SD,"Patients who gave a rating of ""9"" or ""10"" (high)",MINNEHAHA,85,416,SD,sioux falls,153888.0,10.818918918918918,4659020.0
828,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,tucson,AZ,"Patients who gave a rating of ""6"" or lower (low)",PIMA,11,692,AZ,tucson,520116.0,14.397142857142862,477000.0
829,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,tucson,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",PIMA,21,692,AZ,tucson,520116.0,14.397142857142862,477000.0
830,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,tucson,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",PIMA,68,692,AZ,tucson,520116.0,14.397142857142862,477000.0
831,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,tucson,AZ,"Patients who gave a rating of ""6"" or lower (low)",PIMA,12,632,AZ,tucson,520116.0,14.397142857142862,477000.0
832,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,tucson,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",PIMA,21,632,AZ,tucson,520116.0,14.397142857142862,477000.0
833,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,tucson,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",PIMA,67,632,AZ,tucson,520116.0,14.397142857142862,477000.0
834,NORTHWEST MEDICAL CENTER,tucson,AZ,"Patients who gave a rating of ""6"" or lower (low)",PIMA,10,1348,AZ,tucson,520116.0,14.397142857142862,477000.0
835,NORTHWEST MEDICAL CENTER,tucson,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",PIMA,27,1348,AZ,tucson,520116.0,14.397142857142862,477000.0
836,NORTHWEST MEDICAL CENTER,tucson,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",PIMA,63,1348,AZ,tucson,520116.0,14.397142857142862,477000.0
837,ST JOSEPH'S HOSPITAL,tucson,AZ,"Patients who gave a rating of ""6"" or lower (low)",PIMA,12,1087,AZ,tucson,520116.0,14.397142857142862,477000.0
838,ST JOSEPH'S HOSPITAL,tucson,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",PIMA,23,1087,AZ,tucson,520116.0,14.397142857142862,477000.0
839,ST JOSEPH'S HOSPITAL,tucson,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",PIMA,65,1087,AZ,tucson,520116.0,14.397142857142862,477000.0
840,ST. MARY'S HOSPITAL,tucson,AZ,"Patients who gave a rating of ""6"" or lower (low)",PIMA,10,925,AZ,tucson,520116.0,14.397142857142862,477000.0
841,ST. MARY'S HOSPITAL,tucson,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",PIMA,25,925,AZ,tucson,520116.0,14.397142857142862,477000.0
842,ST. MARY'S HOSPITAL,tucson,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",PIMA,65,925,AZ,tucson,520116.0,14.397142857142862,477000.0
843,TUCSON MEDICAL CENTER,tucson,AZ,"Patients who gave a rating of ""6"" or lower (low)",PIMA,10,5032,AZ,tucson,520116.0,14.397142857142862,477000.0
844,TUCSON MEDICAL CENTER,tucson,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",PIMA,22,5032,AZ,tucson,520116.0,14.397142857142862,477000.0
845,TUCSON MEDICAL CENTER,tucson,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",PIMA,68,5032,AZ,tucson,520116.0,14.397142857142862,477000.0
846,VA S. ARIZONA HEALTHCARE SYSTEM,tucson,AZ,"Patients who gave a rating of ""6"" or lower (low)",PIMA,7,348,AZ,tucson,520116.0,14.397142857142862,477000.0
847,VA S. ARIZONA HEALTHCARE SYSTEM,tucson,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",PIMA,20,348,AZ,tucson,520116.0,14.397142857142862,477000.0
848,VA S. ARIZONA HEALTHCARE SYSTEM,tucson,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",PIMA,73,348,AZ,tucson,520116.0,14.397142857142862,477000.0
849,BANNER FORT COLLINS MEDICAL CENTER,fort collins,CO,"Patients who gave a rating of ""6"" or lower (low)",LARIMER,5,258,CO,fort collins,143986.0,12.241304347826087,827425.0
850,BANNER FORT COLLINS MEDICAL CENTER,fort collins,CO,"Patients who gave a rating of ""7"" or ""8"" (medium)",LARIMER,17,258,CO,fort collins,143986.0,12.241304347826087,827425.0
851,BANNER FORT COLLINS MEDICAL CENTER,fort collins,CO,"Patients who gave a rating of ""9"" or ""10"" (high)",LARIMER,78,258,CO,fort collins,143986.0,12.241304347826087,827425.0
852,POUDRE VALLEY HOSPITAL,fort collins,CO,"Patients who gave a rating of ""6"" or lower (low)",LARIMER,6,2662,CO,fort collins,143986.0,12.241304347826087,827425.0
853,POUDRE VALLEY HOSPITAL,fort collins,CO,"Patients who gave a rating of ""7"" or ""8"" (medium)",LARIMER,17,2662,CO,fort collins,143986.0,12.241304347826087,827425.0
854,POUDRE VALLEY HOSPITAL,fort collins,CO,"Patients who gave a rating of ""9"" or ""10"" (high)",LARIMER,77,2662,CO,fort collins,143986.0,12.241304347826087,827425.0
855,BANNER GATEWAY MEDICAL CENTER,gilbert,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,7,534,AZ,gilbert,208453.0,11.442222222222219,427400.0
856,BANNER GATEWAY MEDICAL CENTER,gilbert,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,16,534,AZ,gilbert,208453.0,11.442222222222219,427400.0
857,BANNER GATEWAY MEDICAL CENTER,gilbert,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,77,534,AZ,gilbert,208453.0,11.442222222222219,427400.0
858,MERCY GILBERT MEDICAL CENTER,gilbert,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,7,2314,AZ,gilbert,208453.0,11.442222222222219,427400.0
859,MERCY GILBERT MEDICAL CENTER,gilbert,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,19,2314,AZ,gilbert,208453.0,11.442222222222219,427400.0
860,MERCY GILBERT MEDICAL CENTER,gilbert,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,74,2314,AZ,gilbert,208453.0,11.442222222222219,427400.0
861,BAPTIST BEAUMONT HOSPITAL,beaumont,TX,"Patients who gave a rating of ""6"" or lower (low)",JEFFERSON,8,929,TX,beaumont,118296.0,14.914705882352946,4807000.0
862,BAPTIST BEAUMONT HOSPITAL,beaumont,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",JEFFERSON,21,929,TX,beaumont,118296.0,14.914705882352946,4807000.0
863,BAPTIST BEAUMONT HOSPITAL,beaumont,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",JEFFERSON,71,929,TX,beaumont,118296.0,14.914705882352946,4807000.0
864,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,beaumont,TX,"Patients who gave a rating of ""6"" or lower (low)",JEFFERSON,9,542,TX,beaumont,118296.0,14.914705882352946,4807000.0
865,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,beaumont,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",JEFFERSON,23,542,TX,beaumont,118296.0,14.914705882352946,4807000.0
866,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,beaumont,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",JEFFERSON,68,542,TX,beaumont,118296.0,14.914705882352946,4807000.0
867,BAPTIST EMERGENCY HOSPITAL,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,4,183,TX,san antonio,1327407.0,13.827652733118962,4865000.0
868,BAPTIST EMERGENCY HOSPITAL,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,15,183,TX,san antonio,1327407.0,13.827652733118962,4865000.0
869,BAPTIST EMERGENCY HOSPITAL,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,81,183,TX,san antonio,1327407.0,13.827652733118962,4865000.0
870,BAPTIST MEDICAL CENTER,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,9,4438,TX,san antonio,1327407.0,13.827652733118962,4865000.0
871,BAPTIST MEDICAL CENTER,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,19,4438,TX,san antonio,1327407.0,13.827652733118962,4865000.0
872,BAPTIST MEDICAL CENTER,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,72,4438,TX,san antonio,1327407.0,13.827652733118962,4865000.0
873,CHILDREN'S HOSPITAL OF SAN ANTONIO,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,0,0,TX,san antonio,1327407.0,13.827652733118962,4865000.0
874,CHILDREN'S HOSPITAL OF SAN ANTONIO,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,0,0,TX,san antonio,1327407.0,13.827652733118962,4865000.0
875,CHILDREN'S HOSPITAL OF SAN ANTONIO,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,0,0,TX,san antonio,1327407.0,13.827652733118962,4865000.0
876,CHRISTUS SANTA ROSA MEDICAL CENTER,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,11,1502,TX,san antonio,1327407.0,13.827652733118962,4865000.0
877,CHRISTUS SANTA ROSA MEDICAL CENTER,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,17,1502,TX,san antonio,1327407.0,13.827652733118962,4865000.0
878,CHRISTUS SANTA ROSA MEDICAL CENTER,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,72,1502,TX,san antonio,1327407.0,13.827652733118962,4865000.0
879,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,3,257,TX,san antonio,1327407.0,13.827652733118962,4865000.0
880,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,10,257,TX,san antonio,1327407.0,13.827652733118962,4865000.0
881,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,87,257,TX,san antonio,1327407.0,13.827652733118962,4865000.0
882,LEGENT ORTHOPEDIC + SPINE,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,5,578,TX,san antonio,1327407.0,13.827652733118962,4865000.0
883,LEGENT ORTHOPEDIC + SPINE,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,10,578,TX,san antonio,1327407.0,13.827652733118962,4865000.0
884,LEGENT ORTHOPEDIC + SPINE,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,85,578,TX,san antonio,1327407.0,13.827652733118962,4865000.0
885,METHODIST HOSPITAL,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,8,7678,TX,san antonio,1327407.0,13.827652733118962,4865000.0
886,METHODIST HOSPITAL,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,18,7678,TX,san antonio,1327407.0,13.827652733118962,4865000.0
887,METHODIST HOSPITAL,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,74,7678,TX,san antonio,1327407.0,13.827652733118962,4865000.0
888,METHODIST HOSPITAL  STONE OAK,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,8,1465,TX,san antonio,1327407.0,13.827652733118962,4865000.0
889,METHODIST HOSPITAL  STONE OAK,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,17,1465,TX,san antonio,1327407.0,13.827652733118962,4865000.0
890,METHODIST HOSPITAL  STONE OAK,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,75,1465,TX,san antonio,1327407.0,13.827652733118962,4865000.0
891,METHODIST HOSPITAL AMBULATORY SURGERY,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,3,118,TX,san antonio,1327407.0,13.827652733118962,4865000.0
892,METHODIST HOSPITAL AMBULATORY SURGERY,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,9,118,TX,san antonio,1327407.0,13.827652733118962,4865000.0
893,METHODIST HOSPITAL AMBULATORY SURGERY,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,88,118,TX,san antonio,1327407.0,13.827652733118962,4865000.0
894,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,7,404,TX,san antonio,1327407.0,13.827652733118962,4865000.0
895,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,17,404,TX,san antonio,1327407.0,13.827652733118962,4865000.0
896,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,76,404,TX,san antonio,1327407.0,13.827652733118962,4865000.0
897,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,3,692,TX,san antonio,1327407.0,13.827652733118962,4865000.0
898,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,11,692,TX,san antonio,1327407.0,13.827652733118962,4865000.0
899,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,86,692,TX,san antonio,1327407.0,13.827652733118962,4865000.0
900,SOUTHCROSS HOSPITAL,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,0,0,TX,san antonio,1327407.0,13.827652733118962,4865000.0
901,SOUTHCROSS HOSPITAL,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,0,0,TX,san antonio,1327407.0,13.827652733118962,4865000.0
902,SOUTHCROSS HOSPITAL,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,0,0,TX,san antonio,1327407.0,13.827652733118962,4865000.0
903,SOUTHWEST GENERAL HOSPITAL,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,21,317,TX,san antonio,1327407.0,13.827652733118962,4865000.0
904,SOUTHWEST GENERAL HOSPITAL,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,27,317,TX,san antonio,1327407.0,13.827652733118962,4865000.0
905,SOUTHWEST GENERAL HOSPITAL,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,52,317,TX,san antonio,1327407.0,13.827652733118962,4865000.0
906,TEXAS CENTER FOR INFECTIOUS DISEASE,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,0,0,TX,san antonio,1327407.0,13.827652733118962,4865000.0
907,TEXAS CENTER FOR INFECTIOUS DISEASE,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,0,0,TX,san antonio,1327407.0,13.827652733118962,4865000.0
908,TEXAS CENTER FOR INFECTIOUS DISEASE,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,0,0,TX,san antonio,1327407.0,13.827652733118962,4865000.0
909,UNIVERSITY HEALTH SYSTEM,san antonio,TX,"Patients who gave a rating of ""6"" or lower (low)",BEXAR,7,952,TX,san antonio,1327407.0,13.827652733118962,4865000.0
910,UNIVERSITY HEALTH SYSTEM,san antonio,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",BEXAR,19,952,TX,san antonio,1327407.0,13.827652733118962,4865000.0
911,UNIVERSITY HEALTH SYSTEM,san antonio,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",BEXAR,74,952,TX,san antonio,1327407.0,13.827652733118962,4865000.0
912,BAPTIST HEALTH - FORT SMITH,fort smith,AR,"Patients who gave a rating of ""6"" or lower (low)",SEBASTIAN,11,1141,AR,fort smith,86209.0,16.995238095238093,524550.0
913,BAPTIST HEALTH - FORT SMITH,fort smith,AR,"Patients who gave a rating of ""7"" or ""8"" (medium)",SEBASTIAN,26,1141,AR,fort smith,86209.0,16.995238095238093,524550.0
914,BAPTIST HEALTH - FORT SMITH,fort smith,AR,"Patients who gave a rating of ""9"" or ""10"" (high)",SEBASTIAN,63,1141,AR,fort smith,86209.0,16.995238095238093,524550.0
915,MERCY HOSPITAL FORT SMITH,fort smith,AR,"Patients who gave a rating of ""6"" or lower (low)",SEBASTIAN,7,2576,AR,fort smith,86209.0,16.995238095238093,524550.0
916,MERCY HOSPITAL FORT SMITH,fort smith,AR,"Patients who gave a rating of ""7"" or ""8"" (medium)",SEBASTIAN,22,2576,AR,fort smith,86209.0,16.995238095238093,524550.0
917,MERCY HOSPITAL FORT SMITH,fort smith,AR,"Patients who gave a rating of ""9"" or ""10"" (high)",SEBASTIAN,71,2576,AR,fort smith,86209.0,16.995238095238093,524550.0
918,BAPTIST HEALTH LEXINGTON,lexington,KY,"Patients who gave a rating of ""6"" or lower (low)",FAYETTE,4,1948,KY,lexington,295803.0,14.7719512195122,2146027.0
919,BAPTIST HEALTH LEXINGTON,lexington,KY,"Patients who gave a rating of ""7"" or ""8"" (medium)",FAYETTE,11,1948,KY,lexington,295803.0,14.7719512195122,2146027.0
920,BAPTIST HEALTH LEXINGTON,lexington,KY,"Patients who gave a rating of ""9"" or ""10"" (high)",FAYETTE,85,1948,KY,lexington,295803.0,14.7719512195122,2146027.0
921,LEXINGTON VA MEDICAL CENTER,lexington,KY,"Patients who gave a rating of ""6"" or lower (low)",FAYETTE,7,447,KY,lexington,295803.0,14.7719512195122,2146027.0
922,LEXINGTON VA MEDICAL CENTER,lexington,KY,"Patients who gave a rating of ""7"" or ""8"" (medium)",FAYETTE,17,447,KY,lexington,295803.0,14.7719512195122,2146027.0
923,LEXINGTON VA MEDICAL CENTER,lexington,KY,"Patients who gave a rating of ""9"" or ""10"" (high)",FAYETTE,76,447,KY,lexington,295803.0,14.7719512195122,2146027.0
924,SAINT JOSEPH EAST,lexington,KY,"Patients who gave a rating of ""6"" or lower (low)",FAYETTE,12,596,KY,lexington,295803.0,14.7719512195122,2146027.0
925,SAINT JOSEPH EAST,lexington,KY,"Patients who gave a rating of ""7"" or ""8"" (medium)",FAYETTE,21,596,KY,lexington,295803.0,14.7719512195122,2146027.0
926,SAINT JOSEPH EAST,lexington,KY,"Patients who gave a rating of ""9"" or ""10"" (high)",FAYETTE,67,596,KY,lexington,295803.0,14.7719512195122,2146027.0
927,SAINT JOSEPH HOSPITAL,lexington,KY,"Patients who gave a rating of ""6"" or lower (low)",FAYETTE,13,1016,KY,lexington,295803.0,14.7719512195122,2146027.0
928,SAINT JOSEPH HOSPITAL,lexington,KY,"Patients who gave a rating of ""7"" or ""8"" (medium)",FAYETTE,23,1016,KY,lexington,295803.0,14.7719512195122,2146027.0
929,SAINT JOSEPH HOSPITAL,lexington,KY,"Patients who gave a rating of ""9"" or ""10"" (high)",FAYETTE,64,1016,KY,lexington,295803.0,14.7719512195122,2146027.0
930,UNIVERSITY OF KENTUCKY HOSPITAL,lexington,KY,"Patients who gave a rating of ""6"" or lower (low)",FAYETTE,8,1416,KY,lexington,295803.0,14.7719512195122,2146027.0
931,UNIVERSITY OF KENTUCKY HOSPITAL,lexington,KY,"Patients who gave a rating of ""7"" or ""8"" (medium)",FAYETTE,17,1416,KY,lexington,295803.0,14.7719512195122,2146027.0
932,UNIVERSITY OF KENTUCKY HOSPITAL,lexington,KY,"Patients who gave a rating of ""9"" or ""10"" (high)",FAYETTE,75,1416,KY,lexington,295803.0,14.7719512195122,2146027.0
933,BAPTIST HEALTH LOUISVILLE,louisville,KY,"Patients who gave a rating of ""6"" or lower (low)",JEFFERSON,6,2086,KY,louisville,597337.0,14.863888888888889,2148006.0
934,BAPTIST HEALTH LOUISVILLE,louisville,KY,"Patients who gave a rating of ""7"" or ""8"" (medium)",JEFFERSON,18,2086,KY,louisville,597337.0,14.863888888888889,2148006.0
935,BAPTIST HEALTH LOUISVILLE,louisville,KY,"Patients who gave a rating of ""9"" or ""10"" (high)",JEFFERSON,76,2086,KY,louisville,597337.0,14.863888888888889,2148006.0
936,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,louisville,KY,"Patients who gave a rating of ""6"" or lower (low)",JEFFERSON,11,1521,KY,louisville,597337.0,14.863888888888889,2148006.0
937,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,louisville,KY,"Patients who gave a rating of ""7"" or ""8"" (medium)",JEFFERSON,26,1521,KY,louisville,597337.0,14.863888888888889,2148006.0
938,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,louisville,KY,"Patients who gave a rating of ""9"" or ""10"" (high)",JEFFERSON,63,1521,KY,louisville,597337.0,14.863888888888889,2148006.0
939,LOUISVILLE VA MEDICAL CENTER,louisville,KY,"Patients who gave a rating of ""6"" or lower (low)",JEFFERSON,7,380,KY,louisville,597337.0,14.863888888888889,2148006.0
940,LOUISVILLE VA MEDICAL CENTER,louisville,KY,"Patients who gave a rating of ""7"" or ""8"" (medium)",JEFFERSON,20,380,KY,louisville,597337.0,14.863888888888889,2148006.0
941,LOUISVILLE VA MEDICAL CENTER,louisville,KY,"Patients who gave a rating of ""9"" or ""10"" (high)",JEFFERSON,73,380,KY,louisville,597337.0,14.863888888888889,2148006.0
942,"NORTON HOSPITALS, INC",louisville,KY,"Patients who gave a rating of ""6"" or lower (low)",JEFFERSON,8,1597,KY,louisville,597337.0,14.863888888888889,2148006.0
943,"NORTON HOSPITALS, INC",louisville,KY,"Patients who gave a rating of ""7"" or ""8"" (medium)",JEFFERSON,20,1597,KY,louisville,597337.0,14.863888888888889,2148006.0
944,"NORTON HOSPITALS, INC",louisville,KY,"Patients who gave a rating of ""9"" or ""10"" (high)",JEFFERSON,72,1597,KY,louisville,597337.0,14.863888888888889,2148006.0
945,UNIVERSITY OF LOUISVILLE HOSPITAL,louisville,KY,"Patients who gave a rating of ""6"" or lower (low)",JEFFERSON,13,1052,KY,louisville,597337.0,14.863888888888889,2148006.0
946,UNIVERSITY OF LOUISVILLE HOSPITAL,louisville,KY,"Patients who gave a rating of ""7"" or ""8"" (medium)",JEFFERSON,22,1052,KY,louisville,597337.0,14.863888888888889,2148006.0
947,UNIVERSITY OF LOUISVILLE HOSPITAL,louisville,KY,"Patients who gave a rating of ""9"" or ""10"" (high)",JEFFERSON,65,1052,KY,louisville,597337.0,14.863888888888889,2148006.0
948,BAPTIST HOSPITAL OF MIAMI,miami,FL,"Patients who gave a rating of ""6"" or lower (low)",MIAMI-DADE,10,877,FL,miami,399457.0,15.050495049504955,1245000.0
949,BAPTIST HOSPITAL OF MIAMI,miami,FL,"Patients who gave a rating of ""7"" or ""8"" (medium)",MIAMI-DADE,18,877,FL,miami,399457.0,15.050495049504955,1245000.0
950,BAPTIST HOSPITAL OF MIAMI,miami,FL,"Patients who gave a rating of ""9"" or ""10"" (high)",MIAMI-DADE,72,877,FL,miami,399457.0,15.050495049504955,1245000.0
951,DOUGLAS GARDENS HOSPITAL,miami,FL,"Patients who gave a rating of ""6"" or lower (low)",MIAMI-DADE,0,0,FL,miami,399457.0,15.050495049504955,1245000.0
952,DOUGLAS GARDENS HOSPITAL,miami,FL,"Patients who gave a rating of ""7"" or ""8"" (medium)",MIAMI-DADE,0,0,FL,miami,399457.0,15.050495049504955,1245000.0
953,DOUGLAS GARDENS HOSPITAL,miami,FL,"Patients who gave a rating of ""9"" or ""10"" (high)",MIAMI-DADE,0,0,FL,miami,399457.0,15.050495049504955,1245000.0
954,JACKSON HEALTH SYSTEM,miami,FL,"Patients who gave a rating of ""6"" or lower (low)",MIAMI-DADE,12,5851,FL,miami,399457.0,15.050495049504955,1245000.0
955,JACKSON HEALTH SYSTEM,miami,FL,"Patients who gave a rating of ""7"" or ""8"" (medium)",MIAMI-DADE,22,5851,FL,miami,399457.0,15.050495049504955,1245000.0
956,JACKSON HEALTH SYSTEM,miami,FL,"Patients who gave a rating of ""9"" or ""10"" (high)",MIAMI-DADE,66,5851,FL,miami,399457.0,15.050495049504955,1245000.0
957,KENDALL REGIONAL MEDICAL CENTER,miami,FL,"Patients who gave a rating of ""6"" or lower (low)",MIAMI-DADE,17,720,FL,miami,399457.0,15.050495049504955,1245000.0
958,KENDALL REGIONAL MEDICAL CENTER,miami,FL,"Patients who gave a rating of ""7"" or ""8"" (medium)",MIAMI-DADE,28,720,FL,miami,399457.0,15.050495049504955,1245000.0
959,KENDALL REGIONAL MEDICAL CENTER,miami,FL,"Patients who gave a rating of ""9"" or ""10"" (high)",MIAMI-DADE,55,720,FL,miami,399457.0,15.050495049504955,1245000.0
960,MIAMI VA MEDICAL CENTER,miami,FL,"Patients who gave a rating of ""6"" or lower (low)",MIAMI-DADE,7,389,FL,miami,399457.0,15.050495049504955,1245000.0
