,Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
10416,2017,ID,Idaho,Boise City,Census Tract,BRFSS,Health Outcomes,1608830-16001000201,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.5,8.4,10.9,,,2830,"(43.630800932, -116.184507528)",HLTHOUT,MHLTH,1608830.0,16001000201.0,Mental Health
23456,2017,RI,Rhode Island,Warwick,Census Tract,BRFSS,Health Outcomes,4474300-44003980000,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,3,"(41.7227194382, -71.4286744716)",HLTHOUT,MHLTH,4474300.0,44003980000.0,Mental Health
23805,2017,TX,Texas,Amarillo,Census Tract,BRFSS,Health Outcomes,4803000-48381020200,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.5,12.3,14.7,,,2059,"(35.1796524134, -101.893172369)",HLTHOUT,MHLTH,4803000.0,48381020200.0,Mental Health
9169,2017,FL,Florida,Orlando,Census Tract,BRFSS,Health Outcomes,1253000-12095016710,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.2,11.2,13.3,,,2074,"(28.4935538113, -81.2523411038)",HLTHOUT,MHLTH,1253000.0,12095016710.0,Mental Health
5486,2017,CA,California,Roseville,Census Tract,BRFSS,Health Outcomes,0662938-06061020606,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.0,8.7,11.5,,,1558,"(38.7238818408, -121.22098055)",HLTHOUT,MHLTH,662938.0,6061020606.0,Mental Health
9035,2017,FL,Florida,Melbourne,City,BRFSS,Health Outcomes,1243975,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.5,14.2,14.8,,,76068,"(28.1158805782, -80.6508814613)",HLTHOUT,MHLTH,1243975.0,,Mental Health
20902,2017,OH,Ohio,Cincinnati,Census Tract,BRFSS,Health Outcomes,3915000-39061009902,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.0,16.9,19.1,,,3560,"(39.1077457888, -84.5969526423)",HLTHOUT,MHLTH,3915000.0,39061009902.0,Mental Health
14408,2017,MI,Michigan,Detroit,Census Tract,BRFSS,Health Outcomes,2622000-26163537800,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.3,17.5,21.2,,,2035,"(42.3918918334, -83.1877019244)",HLTHOUT,MHLTH,2622000.0,26163537800.0,Mental Health
3770,2017,CA,California,Los Angeles,Census Tract,BRFSS,Health Outcomes,0644000-06037237401,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.4,15.9,18.9,,,3616,"(33.9784675417, -118.294808364)",HLTHOUT,MHLTH,644000.0,6037237401.0,Mental Health
11904,2017,IN,Indiana,Fort Wayne,Census Tract,BRFSS,Health Outcomes,1825000-18003010705,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.0,11.6,14.4,,,5019,"(41.1532753802, -85.1245530666)",HLTHOUT,MHLTH,1825000.0,18003010705.0,Mental Health
21820,2017,OR,Oregon,Portland,Census Tract,BRFSS,Health Outcomes,4159000-41051003701,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.9,13.8,16.0,,,4356,"(45.5763282038, -122.668237137)",HLTHOUT,MHLTH,4159000.0,41051003701.0,Mental Health
7629,2017,CO,Colorado,Westminster,Census Tract,BRFSS,Health Outcomes,0883835-08059060400,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.2,10.1,12.3,,,3482,"(39.8862305201, -105.06216056)",HLTHOUT,MHLTH,883835.0,8059060400.0,Mental Health
17476,2017,NM,New Mexico,Albuquerque,Census Tract,BRFSS,Health Outcomes,3502000-35001004724,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.0,10.9,13.1,,,3189,"(35.1643295965, -106.706610506)",HLTHOUT,MHLTH,3502000.0,35001004724.0,Mental Health
